INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/247 | Unfinished | 11503 | 10441.08868 | 41.496 | 601.2 | 0.1073128898
10items/248 | Unfinished | 9477 | 8528.904498 | 240.226 | 601.227 | 0.07911441755
10items/249 | Unfinished | 13529 | 12231.1151 | 341.423 | 601.955 | 0.0918210363
10items/250 | Unfinished | 8914 | 7849.842769 | 129.703 | 602.096 | 0.06494578626
10items/251 | Unfinished | 9446 | 8457.762671 | 390.198 | 600.897 | 0.05171045102
10items/252 | Unfinished | 9856 | 8673.282548 | 260.293 | 601.458 | 0.08560083713
10items/253 | Unfinished | 8901 | 7347.952636 | 378.228 | 600.621 | 0.03692296147
10items/254 | Unfinished | 10822 | 9321.479547 | 321.171 | 601.711 | 0.07903207093
10items/255 | Unfinished | 10801 | 9592.132116 | 358.134 | 601.274 | 0.0706854593
10items/256 | Unfinished | 9667 | 8455.19403 | 304.302 | 601.337 | 0.08727782033
10items/257 | Unfinished | 9500 | 7940.983583 | 523 | 601.854 | 0.1431854805
10items/258 | Unfinished | 7897 | 6641.837221 | 412.869 | 601.065 | 0.04532291275
10items/259 | Unfinished | 10496 | 9261.704457 | 328.852 | 601 | 0.09349232446
10items/260 | Unfinished | 9718 | 8528.918541 | 528.043 | 602.216 | 0.1393657345
10items/261 | Unfinished | 11120 | 9798.113915 | 294.751 | 602.472 | 0.08664357197
10items/262 | Unfinished | 10369 | 9258.591261 | 584.728 | 605.707 | 0.0809839908
10items/263 | Unfinished | 9419 | 8315.402841 | 393.945 | 601.778 | 0.1640380789
10items/264 | Unfinished | 9404 | 7939.990387 | 220.204 | 601.266 | 0.1087539075
10items/266 | Unfinished | 7724 | 6374.939539 | 275.107 | 601.318 | 0.09992470779
10items/265 | Unfinished | 10094 | 8712.438012 | 381.076 | 604.058 | 0.06781476084
10items/267 | Unfinished | 9448 | 8055.363499 | 354.302 | 601.433 | 0.05107140727
10items/268 | Unfinished | 8372 | 7001.612006 | 358.409 | 600.69 | 0.04358431231
10items/269 | Unfinished | 9583 | 8111.23889 | 570.466 | 602.691 | 0.07184997108
10items/270 | Unfinished | 8960 | 7691.189192 | 230.619 | 601.722 | 0.067452888
10items/271 | Unfinished | 10937 | 9859.064084 | 370.111 | 602.983 | 0.1546214223
10items/272 | Unfinished | 8245 | 7027.913994 | 273.924 | 601.731 | 0.0859521497
10items/273 | Unfinished | 9941 | 8567.260687 | 296.131 | 601.238 | 0.04936811514
10items/274 | Unfinished | 8901 | 7209.84741 | 471.398 | 602.185 | 0.1110838875
10items/275 | Unfinished | 9494 | 8193.333464 | 239.463 | 602.349 | 0.115458427
10items/276 | Unfinished | 8858 | 7715.364818 | 343.281 | 601.586 | 0.04745245911
10items/277 | Unfinished | 8312 | 7590.57164 | 294.246 | 602.693 | 0.08445207402
10items/279 | Unfinished | 7974 | 6609.894097 | 569.196 | 601.448 | 0.08937976789
10items/281 | Unfinished | 9341 | 8350.840542 | 303.139 | 600.625 | 0.09030974004
10items/280 | Unfinished | 9308 | 7983.203908 | 48.729 | 602.196 | 0.07834790181
10items/278 | Unfinished | 8256 | 6917.24093 | 236.072 | 603.667 | 0.08708684891
10items/282 | Unfinished | 10212 | 8847.367655 | 220.484 | 601.214 | 0.07753174007
10items/283 | Unfinished | 10097 | 8606.99096 | 248.527 | 600.672 | 0.06771881692
10items/285 | Unfinished | 8997 | 8122.160632 | 584.134 | 600.683 | 0.1090756748
10items/284 | Unfinished | 8842 | 7539.772345 | 531.379 | 601.101 | 0.04942947626
10items/286 | Unfinished | 8649 | 7577.457088 | 389.391 | 601.039 | 0.02928656805
10items/287 | Unfinished | 10840 | 9742.692736 | 425.65 | 601.408 | 0.06405572128
10items/288 | Unfinished | 10301 | 9187.591107 | 272.513 | 601.253 | 0.06615498476
10items/289 | Unfinished | 8938 | 7517.64466 | 338.677 | 601.664 | 0.04941078834
10items/290 | Unfinished | 9763 | 8546.472816 | 397.631 | 600.732 | 0.05638215225
10items/323 | Optimum found | 25453 | 25452.97508 | 87.467 | 87.909 | 0.01372418739
10items/291 | Unfinished | 9769 | 8571.82745 | 174.839 | 602.084 | 0.11209876
10items/292 | Unfinished | 9290 | 7632.224696 | 472.376 | 602.28 | 0.08202881087
10items/293 | Unfinished | 9880 | 8300.592006 | 534.278 | 601.616 | 0.130504543
10items/294 | Unfinished | 9319 | 8254.143606 | 113.842 | 602.273 | 0.09040139988
10items/295 | Unfinished | 8817 | 7702.118523 | 452.904 | 601.932 | 0.07316970173
10items/296 | Unfinished | 10247 | 9202.860493 | 584.972 | 610.545 | 0.1326780263
10items/297 | Unfinished | 9763 | 8746.869747 | 363.706 | 606.11 | 0.06764027011
10items/298 | Unfinished | 9253 | 8168.674092 | 307.572 | 603.357 | 0.0635932032
10items/299 | Unfinished | 12056 | 10604.78185 | 331.935 | 600.956 | 0.0441936953
10items/313 | Optimum found | 34990 | 34989.96547 | 435.712 | 451.99 | 0.01380096935
10items/300 | Unfinished | 9477 | 8356.052615 | 242.565 | 602.905 | 0.09264425095
10items/301 | Unfinished | 19022 | 18531.2151 | 525.066 | 601.63 | 0.03823000379
10items/302 | Unfinished | 43668 | 43346.14638 | 537.754 | 601.444 | 0.0381541336
10items/303 | Unfinished | 33443 | 33242.14579 | 386.619 | 600.602 | 0.02503482345
10items/306 | Unfinished | 26911 | 26681.92218 | 600.251 | 601.215 | 0.203079042
10items/304 | Unfinished | 47524 | 47316.985 | 505.784 | 606.122 | 0.1704455875
10items/307 | Unfinished | 25363 | 25077.03567 | 558.206 | 603.335 | 0.02366189566
10items/305 | Unfinished | 21919 | 21680.2322 | 571.982 | 605.492 | 0.1902112942
10items/317 | Optimum found | 33439 | 33438.96718 | 428.643 | 440.505 | 0.01379009522
10items/308 | Unfinished | 37371 | 37274.88437 | 555.576 | 603.922 | 0.2016498158
10items/309 | Unfinished | 35539 | 35156.99064 | 484.318 | 601.884 | 0.1667891005
10items/310 | Unfinished | 24740 | 24551.60516 | 455.82 | 600.901 | 0.03503430076
10items/311 | Unfinished | 28818 | 28622.97897 | 439.199 | 601.68 | 0.03680419736
10items/327 | Optimum found | 28481 | 28480.2752 | 486.313 | 493.031 | 0.01493425574
10items/312 | Unfinished | 30202 | 29794.96036 | 431.272 | 600.608 | 0.04082676675
10items/352 | Optimum found | 24445 | 24444.97587 | 70.936 | 71.406 | 0.01370670181
10items/314 | Unfinished | 21608 | 21390.31716 | 505.797 | 601.45 | 0.3100600438
10items/315 | Unfinished | 22786 | 22482.29069 | 74.509 | 600.57 | 0.03250140604
10items/316 | Unfinished | 37900 | 37444.4917 | 154.528 | 602.298 | 0.1029850971
10items/318 | Unfinished | 21538 | 21389.871 | 580.501 | 600.749 | 0.197778427
10items/320 | Unfinished | 47112 | 46749.57983 | 573.016 | 600.459 | 0.03911039606
10items/319 | Unfinished | 34752 | 34571.368 | 454.273 | 601.596 | 0.3232373642
10items/322 | Unfinished | 52920 | 51134.04023 | 410.58 | 601.037 | 0.05264073517
10items/321 | Unfinished | 30299 | 29915.27325 | 96.7 | 603.917 | 0.03551543597
10items/325 | Unfinished | 36567 | 36184.69675 | 597.041 | 603.488 | 0.1350559536
10items/326 | Unfinished | 40857 | 40103.34012 | 545.508 | 601.145 | 0.03991464432
10items/324 | Unfinished | 25855 | 25704.13828 | 526.924 | 610.931 | 0.1096769925
10items/328 | Unfinished | 27236 | 27020.74414 | 526.136 | 600.37 | 0.0360362865
10items/329 | Unfinished | 47513 | 46996.97769 | 546.602 | 600.18 | 0.03918911517
10items/357 | Optimum found | 25146 | 25144.15796 | 132.768 | 133.172 | 0.0149020832
10items/330 | Unfinished | 25603 | 25514.9498 | 105.691 | 601.198 | 0.3233816288
10items/331 | Unfinished | 24354 | 24134.53781 | 481.89 | 601.1 | 0.03314415831
10items/332 | Unfinished | 32353 | 32202.84293 | 548.829 | 601.492 | 0.2586186361
10items/333 | Unfinished | 51176 | 50740.08028 | 587.758 | 601.079 | 0.04024469387
