
10items/017 | Optimum found | 11984 | 11984 | 3.107 | 3.11 | 0.01186834741
10items/036 | Optimum found | 14195 | 14194.98582 | 3.371 | 3.468 | 0.01376249734
10items/009 | Optimum found | 14646 | 14645.98536 | 3.519 | 3.633 | 0.01197150536
10items/015 | Optimum found | 14836 | 14836 | 3.73 | 3.733 | 0.01199822035
10items/024 | Optimum found | 15247 | 15246.98476 | 3.837 | 3.964 | 0.01395631675
10items/039 | Optimum found | 15371 | 15370.98463 | 3.972 | 3.975 | 0.01376899425
10items/001 | Optimum found | 14051 | 14050.98595 | 4.094 | 4.113 | 0.01371274982
10items/029 | Optimum found | 10105 | 10105 | 4.235 | 4.241 | 0.01195800398
10items/040 | Optimum found | 14809 | 14808.98521 | 4.024 | 4.319 | 0.01374157611
10items/021 | Optimum found | 13712 | 13712 | 4.467 | 4.47 | 0.01393250562
10items/010 | Optimum found | 14858 | 14858 | 4.496 | 4.499 | 0.0136503363
10items/003 | Optimum found | 11531 | 11531 | 4.514 | 4.518 | 0.01181043033
10items/016 | Optimum found | 8121 | 8120.991894 | 4.463 | 4.503 | 0.0149859013
10items/037 | Optimum found | 12628 | 12628 | 4.686 | 4.689 | 0.01362195797
10items/008 | Optimum found | 15864 | 15863.98415 | 4.48 | 4.891 | 0.01375703234
10items/018 | Optimum found | 14353 | 14352.98566 | 4.921 | 5.022 | 0.0139014693
10items/034 | Optimum found | 15671 | 15670.98436 | 4.585 | 5.042 | 0.01376340631
10items/032 | Optimum found | 11929 | 11929 | 5.676 | 5.68 | 0.0138040008
10items/014 | Optimum found | 14639 | 14638.9854 | 5.076 | 5.777 | 0.01405117381
10items/006 | Optimum found | 9052 | 9051.99096 | 5.815 | 5.87 | 0.01386457775
10items/002 | Optimum found | 11466 | 11465.98856 | 6.079 | 6.128 | 0.01377631072
10items/028 | Optimum found | 9696 | 9696 | 6.578 | 6.581 | 0.01372588985
10items/035 | Optimum found | 15563 | 15562.98446 | 6.656 | 6.905 | 0.0139896879
10items/013 | Optimum found | 11286 | 11285.98872 | 7.232 | 7.362 | 0.0139306616
10items/031 | Optimum found | 9757 | 9757 | 7.682 | 7.684 | 0.01385027356
10items/055 | Optimum found | 10611 | 10610.98939 | 2.836 | 2.929 | 0.0121033648
10items/019 | Optimum found | 13412 | 13411.98659 | 7.932 | 7.981 | 0.01390175335
10items/007 | Optimum found | 14018 | 14017.98601 | 7.446 | 8.108 | 0.01373270992
10items/047 | Optimum found | 14586 | 14586 | 4.043 | 4.047 | 0.01208110992
10items/048 | Optimum found | 12763 | 12763 | 3.887 | 3.889 | 0.01397438068
10items/046 | Optimum found | 15375 | 15374.98465 | 4.008 | 4.134 | 0.01395471115
10items/026 | Optimum found | 11942 | 11941.98809 | 8.188 | 8.589 | 0.0139828613
10items/043 | Optimum found | 13290 | 13290 | 4.977 | 4.981 | 0.01371759269
10items/012 | Optimum found | 8066 | 8065.991947 | 8.817 | 8.928 | 0.0138960015
10items/038 | Optimum found | 8705 | 8704.991311 | 8.803 | 8.968 | 0.01373612043
10items/023 | Optimum found | 13909 | 13908.98612 | 9.044 | 9.05 | 0.01390824653
10items/041 | Optimum found | 13410 | 13409.98661 | 6.266 | 6.273 | 0.01375938393
10items/030 | Optimum found | 14697 | 14696.98534 | 8.926 | 9.809 | 0.01382231433
10items/025 | Optimum found | 12053.99998 | 12053.98796 | 9.537 | 9.855 | 0.01378488075
10items/059 | Optimum found | 18450 | 18449.98155 | 4.13 | 4.154 | 0.01388249639
10items/052 | Optimum found | 14814 | 14813.9852 | 5.642 | 5.648 | 0.01378441695
10items/033 | Optimum found | 13150 | 13149.98688 | 10.29 | 10.496 | 0.01387003716
10items/061 | Optimum found | 9631 | 9630.990398 | 4.446 | 4.505 | 0.01370750461
10items/066 | Optimum found | 9765 | 9765 | 2.728 | 2.73 | 0.01164520252
10items/027 | Optimum found | 14216 | 14215.98581 | 9.184 | 10.874 | 0.01344241668
10items/057 | Optimum found | 12226 | 12225.98779 | 5.84 | 5.91 | 0.01499464829
10items/045 | Optimum found | 13415 | 13415 | 7.011 | 7.014 | 0.01392538194
10items/022 | Optimum found | 14489 | 14488.98555 | 11.588 | 11.597 | 0.01395889465
10items/050 | Optimum found | 11151 | 11150.98887 | 6.969 | 7.069 | 0.01383121498
10items/058 | Optimum found | 14179 | 14179 | 6.236 | 6.239 | 0.01374328975
10items/068 | Optimum found | 13795 | 13794.98621 | 3.92 | 4.021 | 0.01366072986
10items/064 | Optimum found | 13296 | 13295.98672 | 4.565 | 4.857 | 0.01376239117
10items/074 | Optimum found | 10735 | 10735 | 3.317 | 3.321 | 0.01191839669
10items/042 | Optimum found | 15850 | 15849.98418 | 8.679 | 8.761 | 0.01396859158
10items/073 | Optimum found | 15080 | 15080 | 3.684 | 3.687 | 0.0136994021
10items/054 | Optimum found | 10238 | 10237.9898 | 8.04 | 8.28 | 0.01386691071
10items/065 | Optimum found | 13369 | 13369 | 5.653 | 5.658 | 0.01372998767
10items/069 | Optimum found | 12617 | 12616.98741 | 5.426 | 5.595 | 0.01369499601
10items/062 | Optimum found | 15226 | 15225.98481 | 6.981 | 7.284 | 0.01400137134
10items/063 | Optimum found | 15871 | 15870.98414 | 7.065 | 7.1 | 0.0138550261
