INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/370 | Unfinished | 33644 | 33010.93241 | 292.713 | 601.714 | 0.1023298036
10items/371 | Unfinished | 23533 | 22716.42269 | 57.592 | 603.198 | 0.08183844388
10items/372 | Unfinished | 30535 | 30086.47404 | 258.541 | 601.597 | 0.08182859235
10items/373 | Unfinished | 31233 | 30535.62152 | 79.448 | 604.803 | 0.09634779021
10items/374 | Unfinished | 30270 | 29766.16376 | 178.743 | 604.938 | 0.1051778533
10items/375 | Unfinished | 30254 | 29639.11838 | 84.055 | 603.551 | 0.09098434448
10items/376 | Unfinished | 23747 | 22933.64439 | 55.516 | 602.26 | 0.1317054499
10items/377 | Unfinished | 39419 | 38863.2909 | 198.621 | 606.934 | 0.1044651102
10items/378 | Unfinished | 38252 | 37427.26201 | 163.285 | 603.128 | 0.1063710134
10items/379 | Unfinished | 57604 | 57050.78394 | 58.523 | 604.178 | 0.0970650306
10items/380 | Unfinished | 33282 | 32683.72712 | 134.867 | 604.924 | 0.1189427339
10items/386 | Unfinished | 27291 | 26478.35292 | 64.057 | 600.997 | 0.113187247
10items/387 | Unfinished | 26929 | 26070.77884 | 20.403 | 601.535 | 0.101132717
10items/389 | Unfinished | 61479 | 60551.80379 | 91.225 | 601.278 | 0.08685543761
10items/381 | Unfinished | 29240 | 28380.13705 | 20.253 | 603.942 | 0.1153258914
10items/393 | Unfinished | 40470 | 40051.59466 | 59.792 | 601.033 | 0.1179246698
10items/390 | Unfinished | 28128 | 27608.69232 | 90.785 | 601.773 | 0.08930643089
10items/382 | Unfinished | 29908 | 29309.49613 | 100.511 | 603.022 | 0.1003803881
10items/388 | Unfinished | 23634 | 23304.00167 | 43.587 | 602.372 | 0.1291395174
10items/399 | Unfinished | 34856 | 34405.49772 | 113.358 | 600.555 | 0.09963743016
10items/392 | Unfinished | 51911 | 51241.38079 | 21.853 | 602.085 | 0.1365649644
10items/383 | Unfinished | 43870 | 43387.04769 | 89.454 | 603.678 | 0.1195837436
10items/391 | Unfinished | 31941 | 31078.41169 | 43.802 | 602.698 | 0.1060939254
10items/384 | Unfinished | 31698 | 30969.27675 | 63.314 | 603.794 | 0.09706545528
10items/401 | Unfinished | 17824 | 16354.92894 | 176.765 | 601.018 | 0.09712522011
10items/394 | Unfinished | 36492 | 35735.76337 | 34.792 | 602.645 | 0.1002637027
10items/396 | Unfinished | 26691 | 25634.67532 | 39.347 | 602.433 | 0.09922423307
10items/402 | Unfinished | 26073 | 24625.34023 | 156.978 | 601.336 | 0.1013874579
10items/395 | Unfinished | 25625 | 24850.22433 | 40.127 | 603.384 | 0.09208090603
10items/400 | Unfinished | 49786 | 49162.82343 | 117.877 | 602.251 | 0.08391091414
10items/385 | Unfinished | 49601 | 49135.17345 | 25.633 | 605.11 | 0.1174714025
10items/397 | Unfinished | 29458 | 28946.13567 | 60.63 | 605.543 | 0.1037634611
10items/398 | Unfinished | 30372 | 29627.87618 | 83.731 | 605.879 | 0.09790228494
10items/403 | Unfinished | 25890 | 24251.40638 | 133.957 | 600.752 | 0.1033428879
10items/404 | Unfinished | 29545 | 28450.7716 | 122.318 | 601.058 | 0.08574638143
10items/405 | Unfinished | 18985 | 17019.3081 | 257.349 | 601.954 | 0.09836281836
10items/406 | Unfinished | 19800 | 18197.6201 | 164.251 | 601.346 | 0.1151528023
10items/407 | Unfinished | 21439 | 19842.96098 | 197.767 | 600.778 | 0.117168989
10items/408 | Unfinished | 29735 | 28357.65502 | 277.453 | 602.121 | 0.1204327755
10items/409 | Unfinished | 19965 | 18169.37601 | 65.445 | 600.549 | 0.1127870101
10items/410 | Unfinished | 19556 | 17687.02012 | 159.144 | 601.724 | 0.09992287587
10items/411 | Unfinished | 18144 | 16759.01942 | 312.58 | 601.726 | 0.1040117936
10items/412 | Unfinished | 18483 | 16808.60524 | 306.512 | 601.325 | 0.110815037
10items/413 | Unfinished | 24206 | 22547.06699 | 242.566 | 603.9 | 0.1036368925
10items/414 | Unfinished | 16265 | 14523.35144 | 220.595 | 601.873 | 0.08177072462
10items/415 | Unfinished | 21187 | 19793.77088 | 133.751 | 601.075 | 0.1306175329
10items/416 | Unfinished | 18924 | 17330.58187 | 236.38 | 602.274 | 0.102138903
10items/417 | Unfinished | 27737 | 26196.28313 | 130.651 | 604.014 | 0.08155953698
10items/418 | Unfinished | 23271 | 21729.86856 | 100.433 | 602.707 | 0.1067207512
10items/419 | Unfinished | 24853 | 23357.52469 | 59.045 | 602.642 | 0.08747700043
10items/420 | Unfinished | 27399 | 26157.81002 | 84.005 | 602.716 | 0.08834166918
10items/424 | Unfinished | 20410 | 18698.80534 | 98.278 | 601.432 | 0.1014855271
10items/427 | Unfinished | 19318 | 17833.35086 | 84.444 | 601.12 | 0.1065374911
10items/429 | Unfinished | 24212 | 22695.65575 | 67.066 | 601.646 | 0.10252384
10items/428 | Unfinished | 17882 | 16145.53873 | 62.836 | 602.029 | 0.08526819106
10items/421 | Unfinished | 21134 | 19180.81507 | 156.114 | 603.508 | 0.104337668
10items/432 | Unfinished | 20825 | 19044.01557 | 60.973 | 601.04 | 0.1017087204
10items/431 | Unfinished | 23817 | 22097.99689 | 71.48 | 601.548 | 0.125861505
10items/422 | Unfinished | 23182 | 21539.27827 | 107.561 | 603.106 | 0.1119730165
10items/423 | Unfinished | 21589 | 19922.63741 | 89.746 | 603.362 | 0.09694966115
